   x			   y1			   y2			   y3
   1.0900000e+02   7.4010000e-01   1.0000000e+00   1.0000000e+00
   1.9100000e+02   6.6310000e-01   1.0000000e+00   1.0000000e+00
   2.7300000e+02   6.0200000e-01   1.0000000e+00   1.0000000e+00
   5.4600000e+02   4.6280000e-01   1.0000000e+00   1.0000000e+00
   1.0910000e+03   3.2060000e-01   9.9994643e-01   1.0000000e+00
   1.9100000e+03   2.1940000e-01   6.1562608e-01   8.0017423e-01
   2.7290000e+03   1.7180000e-01   3.8324153e-01   5.4080432e-01
   5.4570000e+03   7.2200000e-02   8.3834593e-02   1.4731247e-01
   1.0915000e+04   1.5900000e-02   4.0898688e-03   1.1140158e-02
   2.7287000e+04   0.0000000e+00   6.5175088e-07   5.5253292e-06
