   x			   y1			   y2			   y3
   1.0900000e+02   8.4610000e-01   1.0000000e+00   1.0000000e+00
   1.9100000e+02   8.0240000e-01   1.0000000e+00   1.0000000e+00
   2.7300000e+02   7.6380000e-01   1.0000000e+00   1.0000000e+00
   5.4600000e+02   6.6920000e-01   1.0000000e+00   1.0000000e+00
   1.0910000e+03   5.3800000e-01   1.0000000e+00   1.0000000e+00
   1.9100000e+03   4.2040000e-01   1.0000000e+00   1.0000000e+00
   2.7290000e+03   3.3560000e-01   1.0000000e+00   1.0000000e+00
   5.4570000e+03   1.7090000e-01   7.2936050e-01   8.8018513e-01
   1.0915000e+04   4.7700000e-02   2.7723629e-01   3.8835707e-01
   2.7287000e+04   2.0000000e-04   1.6913253e-02   3.3906047e-02
