   x			   y1			   y2			   y3
   1.0900000e+02   2.7330000e-01   8.2353039e-01   1.0000000e+00
   1.9100000e+02   1.5290000e-01   4.4414513e-01   8.3465279e-01
   2.7300000e+02   9.3500000e-02   2.8023949e-01   5.7408871e-01
   5.4600000e+02   1.9400000e-02   6.1663695e-02   1.6582340e-01
   1.0910000e+03   2.0000000e-03   3.3351706e-03   1.4153101e-02
   1.9100000e+03   0.0000000e+00   3.4089295e-05   3.6551922e-04
   2.7290000e+03   0.0000000e+00   4.3082869e-07   9.8467354e-06
   5.4570000e+03   0.0000000e+00   4.0044887e-13   6.9929192e-11
   1.0915000e+04   0.0000000e+00   5.8271541e-25   4.4938475e-21
   2.7287000e+04   0.0000000e+00   2.7405964e-60   1.3507689e-51
