   x			   y1			   y2			   y3
   1.0900000e+02   1.7180000e-01   5.3241379e-01   9.5247738e-01
   1.9100000e+02   7.5000000e-02   2.5031816e-01   5.4590748e-01
   2.7300000e+02   3.2600000e-02   1.2347880e-01   3.1327508e-01
   5.4600000e+02   2.5000000e-03   1.1501582e-02   4.9748435e-02
   1.0910000e+03   0.0000000e+00   1.2747916e-04   1.3126418e-03
   1.9100000e+03   0.0000000e+00   1.5733937e-07   6.0394049e-06
   2.7290000e+03   0.0000000e+00   3.8539517e-10   2.9749140e-08
   5.4570000e+03   0.0000000e+00   3.6513084e-19   7.5032770e-16
   1.0915000e+04   0.0000000e+00   6.2575133e-37   5.4961336e-31
   2.7287000e+04   0.0000000e+00   2.0257672e-89   2.2461731e-76
