   x			   y1			   y2
   1.0900000e+02   1.7950000e-01   1.0000000e+00
   1.9100000e+02   7.7600000e-02   1.0000000e+00
   2.7300000e+02   3.4900000e-02   1.0000000e+00
   5.4600000e+02   3.2000000e-03   7.8021819e-01
   1.0910000e+03   1.0000000e-04   3.0598175e-01
   1.9100000e+03   0.0000000e+00   7.5449968e-02
   2.7290000e+03   0.0000000e+00   1.8748617e-02
   5.4570000e+03   0.0000000e+00   1.9090561e-04
   1.0915000e+04   0.0000000e+00   2.3413653e-08
   2.7287000e+04   0.0000000e+00   6.7635501e-20
