   x			   y1			   y2			   y3
   1.0900000e+02   4.4980000e-01   1.0000000e+00   1.0000000e+00
   1.9100000e+02   3.2480000e-01   9.4368644e-01   1.0000000e+00
   2.7300000e+02   2.5360000e-01   6.9003425e-01   1.0000000e+00
   5.4600000e+02   1.3540000e-01   2.9528467e-01   5.0713948e-01
   1.0910000e+03   5.7200000e-02   5.4575764e-02   1.2989383e-01
   1.9100000e+03   1.7000000e-02   4.7798667e-03   1.7006990e-02
   2.7290000e+03   5.0000000e-03   4.2388704e-04   2.2617616e-03
   5.4570000e+03   1.0000000e-04   1.6653793e-07   2.9962879e-06
   1.0915000e+04   0.0000000e+00   3.4085171e-14   6.6894830e-12
   2.7287000e+04   0.0000000e+00   1.6316281e-33   1.0751418e-28
