   x			   y1			   y2
   1.0900000e+02   7.3440000e-01   1.0000000e+00
   1.9100000e+02   6.4870000e-01   1.0000000e+00
   2.7300000e+02   5.8100000e-01   1.0000000e+00
   5.4600000e+02   4.3970000e-01   1.0000000e+00
   1.0910000e+03   2.7400000e-01   1.0000000e+00
   1.9100000e+03   1.4420000e-01   1.0000000e+00
   2.7290000e+03   7.8800000e-02   1.0000000e+00
   5.4570000e+03   1.1000000e-02   7.6232564e-01
   1.0915000e+04   1.0000000e-04   2.9160887e-01
   2.7287000e+04   0.0000000e+00   1.6689890e-02
