   x			   y1			   y2
   1.0900000e+02   1.0900000e-01   1.0000000e+00
   1.9100000e+02   3.7500000e-02   1.0000000e+00
   2.7300000e+02   1.2200000e-02   1.0000000e+00
   5.4600000e+02   8.0000000e-04   6.1377033e-01
   1.0910000e+03   0.0000000e+00   1.8982370e-01
   1.9100000e+03   0.0000000e+00   3.2880059e-02
   2.7290000e+03   0.0000000e+00   5.7631277e-03
   5.4570000e+03   0.0000000e+00   1.8784131e-05
   1.0915000e+04   0.0000000e+00   2.4721309e-10
   2.7287000e+04   0.0000000e+00   8.5273184e-25
