   x			   y1			   y2			   y3
   8.4000000e+01   8.6470000e-01   1.0000000e+00   1.0000000e+00
   1.4600000e+02   8.2710000e-01   1.0000000e+00   1.0000000e+00
   2.0900000e+02   7.7630000e-01   1.0000000e+00   1.0000000e+00
   4.1800000e+02   6.9620000e-01   1.0000000e+00   1.0000000e+00
   8.3500000e+02   5.8760000e-01   1.0000000e+00   1.0000000e+00
   1.4620000e+03   4.9090000e-01   1.0000000e+00   1.0000000e+00
   2.0890000e+03   4.0370000e-01   1.0000000e+00   1.0000000e+00
   4.1770000e+03   2.8340000e-01   8.7684298e-01   1.0000000e+00
   8.3550000e+03   1.7090000e-01   3.9760094e-01   1.0000000e+00
   2.0887000e+04   2.5800000e-02   3.9392005e-02   7.0891956e-01
