   x			   y1			   y2			   y3
   8.4000000e+01   5.3390000e-01   1.0000000e+00   1.0000000e+00
   1.4600000e+02   4.1480000e-01   1.0000000e+00   1.0000000e+00
   2.0900000e+02   3.4480000e-01   1.0000000e+00   1.0000000e+00
   4.1800000e+02   1.9600000e-01   5.5959275e-01   1.0000000e+00
   8.3500000e+02   9.3100000e-02   1.8562718e-01   1.0000000e+00
   1.4620000e+03   3.6800000e-02   3.8928923e-02   7.7489411e-01
   2.0890000e+03   1.5300000e-02   8.0369816e-03   5.1656319e-01
   4.1770000e+03   5.0000000e-04   4.9939345e-05   1.3449012e-01
   8.3550000e+03   0.0000000e+00   2.8632833e-09   9.3009098e-03
   2.0887000e+04   0.0000000e+00   7.1138796e-22   3.5570218e-06
