   x			   y1			   y2			   y3
   8.4000000e+01   7.5980000e-01   1.0000000e+00   1.0000000e+00
   1.4600000e+02   6.8690000e-01   1.0000000e+00   1.0000000e+00
   2.0900000e+02   6.2540000e-01   1.0000000e+00   1.0000000e+00
   4.1800000e+02   4.9740000e-01   1.0000000e+00   1.0000000e+00
   8.3500000e+02   3.7010000e-01   1.0000000e+00   1.0000000e+00
   1.4620000e+03   2.5580000e-01   7.5484705e-01   1.0000000e+00
   2.0890000e+03   1.9050000e-01   5.2385468e-01   1.0000000e+00
   4.1770000e+03   9.7000000e-02   1.4752329e-01   1.0000000e+00
   8.3550000e+03   2.5300000e-02   1.2731283e-02   5.4037674e-01
   2.0887000e+04   1.0000000e-04   1.0244539e-05   7.6879765e-02
