   x			   y1			   y2			   y3
   8.4000000e+01   1.4230000e-01   7.1827055e-01   1.0000000e+00
   1.4600000e+02   5.8800000e-02   4.4317623e-01   1.0000000e+00
   2.0900000e+02   2.1800000e-02   2.7685454e-01   1.0000000e+00
   4.1800000e+02   1.3000000e-03   5.1036139e-02   9.1599345e-01
   8.3500000e+02   0.0000000e+00   2.3213180e-03   4.2133628e-01
   1.4620000e+03   0.0000000e+00   2.2357320e-05   1.3167397e-01
   2.0890000e+03   0.0000000e+00   4.1056819e-07   4.1371829e-02
   4.1770000e+03   0.0000000e+00   1.9890857e-13   9.0802241e-04
   8.3550000e+03   0.0000000e+00   1.5567438e-25   4.9818418e-07
   2.0887000e+04   0.0000000e+00   2.9009000e-61   1.2793517e-16
