   x			   y1			   y2			   y3
   8.4000000e+01   3.7750000e-01   1.0000000e+00   1.0000000e+00
   1.4600000e+02   2.4430000e-01   8.7358978e-01   1.0000000e+00
   2.0900000e+02   1.7550000e-01   6.6552813e-01   1.0000000e+00
   4.1800000e+02   7.8700000e-02   2.6622932e-01   1.0000000e+00
   8.3500000e+02   1.7300000e-02   4.4603186e-02   8.3160897e-01
   1.4620000e+03   1.7000000e-03   3.3772067e-03   4.3115100e-01
   2.0890000e+03   2.0000000e-04   2.7672482e-04   2.2392066e-01
   4.1770000e+03   0.0000000e+00   8.5130901e-08   2.5578667e-02
   8.3550000e+03   0.0000000e+00   1.2664749e-14   3.5098233e-04
   2.0887000e+04   0.0000000e+00   1.0999326e-34   1.2070388e-09
