   x			   y1			   y2			   y3
   9.5000000e+01   3.0000000e-04   1.8253214e-01   1.0000000e+00
   1.6600000e+02   0.0000000e+00   4.5445976e-02   7.9568790e-01
   2.3800000e+02   0.0000000e+00   9.0492985e-03   5.3405577e-01
   4.7500000e+02   0.0000000e+00   1.2447067e-04   1.4440211e-01
   9.5100000e+02   0.0000000e+00   3.5890933e-08   1.0655447e-02
   1.6640000e+03   0.0000000e+00   1.7244383e-13   2.2490883e-04
   2.3770000e+03   0.0000000e+00   1.4341274e-18   4.9687199e-06
   4.7540000e+03   0.0000000e+00   1.8773900e-35   1.8141155e-11
   9.5080000e+03   0.0000000e+00   4.0429478e-69   3.0766976e-22
   2.3769000e+04   0.0000000e+00  1.5215353e-168   1.6640069e-54
