   x			   y1			   y2			   y3
   9.5000000e+01   4.9930000e-01   1.0000000e+00   1.0000000e+00
   1.6600000e+02   3.9010000e-01   1.0000000e+00   1.0000000e+00
   2.3800000e+02   3.0130000e-01   9.7012166e-01   1.0000000e+00
   4.7500000e+02   1.4730000e-01   5.3097699e-01   1.0000000e+00
   9.5100000e+02   4.6000000e-02   1.5584755e-01   9.6383140e-01
   1.6640000e+03   1.4300000e-02   2.7357591e-02   5.5837303e-01
   2.3770000e+03   2.3000000e-03   5.0948135e-03   3.2386914e-01
   4.7540000e+03   0.0000000e+00   1.8174783e-05   5.3144403e-02
   9.5080000e+03   0.0000000e+00   3.6880042e-10   1.4854610e-03
   2.3769000e+04   0.0000000e+00   5.7530743e-24   4.0633847e-08
