   x			   y1			   y2			   y3
   9.5000000e+01   1.5940000e-01   6.3273758e-01   1.0000000e+00
   1.6600000e+02   7.1100000e-02   3.4748235e-01   1.0000000e+00
   2.3800000e+02   2.9100000e-02   1.7464512e-01   1.0000000e+00
   4.7500000e+02   2.0000000e-03   2.3139425e-02   5.8850773e-01
   9.5100000e+02   0.0000000e+00   4.5004938e-04   1.7377024e-01
   1.6640000e+03   0.0000000e+00   1.5553953e-06   2.8263030e-02
   2.3770000e+03   0.0000000e+00   5.5352626e-09   4.6554116e-03
   4.7540000e+03   0.0000000e+00   5.7205492e-17   1.2326741e-05
   9.5080000e+03   0.0000000e+00   1.3404820e-32   1.0827361e-10
   2.3769000e+04   0.0000000e+00   1.4820035e-78   1.0974966e-25
