   x			   y1			   y2			   y3
   9.5000000e+01   7.5000000e-02   3.3908817e-01   1.0000000e+00
   1.6600000e+02   2.1200000e-02   1.5324481e-01   1.0000000e+00
   2.3800000e+02   8.2000000e-03   6.5419009e-02   8.3037981e-01
   4.7500000e+02   3.0000000e-04   3.4921565e-03   3.4711237e-01
   9.5100000e+02   0.0000000e+00   1.1233681e-05   6.0764428e-02
   1.6640000e+03   0.0000000e+00   3.1942050e-09   4.5662342e-03
   2.3770000e+03   0.0000000e+00   1.5828413e-12   3.5149900e-04
   4.7540000e+03   0.0000000e+00   3.2079091e-24   7.7625967e-08
   9.5080000e+03   0.0000000e+00   4.3683041e-46   4.9712112e-15
   2.3769000e+04   0.0000000e+00  2.1323031e-112   1.6991824e-36
