   x			   y1			   y2			   y3
   9.5000000e+01   1.6020000e-01   5.8930168e-01   1.0000000e+00
   1.6600000e+02   7.4700000e-02   3.0001922e-01   1.0000000e+00
   2.3800000e+02   3.7200000e-02   1.4513295e-01   1.0000000e+00
   4.7500000e+02   5.8000000e-03   1.4821592e-02   5.4772737e-01
   9.5100000e+02   2.0000000e-04   2.6823415e-04   1.5060841e-01
   1.6640000e+03   0.0000000e+00   6.9069901e-07   2.2045085e-02
   2.3770000e+03   0.0000000e+00   1.8558451e-09   3.2725148e-03
   4.7540000e+03   0.0000000e+00   8.0101300e-18   6.1709821e-06
   9.5080000e+03   0.0000000e+00   2.5413853e-34   2.7782615e-11
   2.3769000e+04   0.0000000e+00   3.9565159e-83   3.7263176e-27
