   x			   y1			   y2			   y3
   9.5000000e+01   7.5790000e-01   1.0000000e+00   1.0000000e+00
   1.6600000e+02   6.8880000e-01   1.0000000e+00   1.0000000e+00
   2.3800000e+02   6.1640000e-01   1.0000000e+00   1.0000000e+00
   4.7500000e+02   4.9170000e-01   1.0000000e+00   1.0000000e+00
   9.5100000e+02   3.2490000e-01   1.0000000e+00   1.0000000e+00
   1.6640000e+03   1.9490000e-01   7.9018848e-01   1.0000000e+00
   2.3770000e+03   1.0860000e-01   5.3753063e-01   1.0000000e+00
   4.7540000e+03   2.0400000e-02   1.5883640e-01   9.1127655e-01
   9.5080000e+03   7.0000000e-04   1.4064046e-02   4.1624701e-01
   2.3769000e+04   0.0000000e+00   1.2446996e-05   4.0262724e-02
