   x			   y1			   y2			   y3
   9.5000000e+01   3.6860000e-01   1.0000000e+00   1.0000000e+00
   1.6600000e+02   2.3350000e-01   8.2042444e-01   1.0000000e+00
   2.3800000e+02   1.5370000e-01   5.8229360e-01   1.0000000e+00
   4.7500000e+02   5.0700000e-02   1.9782063e-01   1.0000000e+00
   9.5100000e+02   9.4000000e-03   2.7222930e-02   5.8081194e-01
   1.6640000e+03   3.0000000e-04   1.4942605e-03   2.3077178e-01
   2.3770000e+03   0.0000000e+00   8.0101379e-05   9.2004922e-02
   4.7540000e+03   0.0000000e+00   7.9156075e-09   4.3919128e-03
   9.5080000e+03   0.0000000e+00   1.0772117e-16   1.0994262e-05
   2.3769000e+04   0.0000000e+00   4.1443081e-40   2.5538089e-13
